CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
Specific conductance,NA,625,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.79,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,637,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.07,None,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,NA,NA,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.435,mg/L,9/30/2003,2003,9,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sum of anions,Total,12.49,meq/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,630,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
"Hardness, carbonate",Total,193,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.25,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.46,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,0.021,meq/L,5/28/2003,2003,5,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Cations-Anions,Total,-0.46,meq/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,18.9,mg/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.42,None,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,1.32,ug/L,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,35.4,%,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,634,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.4,None,5/28/2003,2003,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.35,None,5/28/2003,2003,5,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.33,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,640,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,55,ug/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sulfate,Dissolved,272,mg/L,8/19/2003,2003,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Iron,Total Recoverable,0.417,mg/L,1/28/2003,2003,1,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
"Alkalinity, total",Total,175,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.33,None,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,637,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.37,None,5/28/2003,2003,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,7.79,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of anions,Total,12.4,meq/L,7/8/2003,2003,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,590,uS/cm,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,6.241,meq/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,50.7,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-0.269,meq/L,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,10.66,meq/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,7,mg/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,614,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,10,meq/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.36,None,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sulfate,Dissolved,133,mg/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,627,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,18.8,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,624,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,60.7,mg/L,5/28/2003,2003,5,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.32,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.83,None,1/28/2003,2003,1,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,635,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
"Hardness, carbonate",Total,195,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,620,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,2.43,ug/L,4/14/2003,2003,4,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Aluminum,Total Recoverable,NA,NA,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,495,mg/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,639,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.3,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,638,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.32,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
"Hardness, carbonate",Total,346,mg/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.85,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,615,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,636,uS/cm,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,636,uS/cm,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,375,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,663,mg/L,8/4/2003,2003,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,622,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,601,uS/cm,9/19/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,631,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,5.02,ug/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Sum of cations,Total,12.19,meq/L,7/8/2003,2003,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,631,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Carbonate,Total,NA,NA,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,56.3,mg/L,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.84,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,592,uS/cm,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.94,None,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,6.25,%,8/4/2003,2003,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,85.9,mg/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1030,umho/cm,8/4/2003,2003,8,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,416,mg/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Cations-Anions,Total,-0.113,meq/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,615,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,628,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.25,None,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,637,uS/cm,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,70.2,mg/L,4/16/2003,2003,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,631,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,54.3,mg/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Bicarbonate,Total,327,mg/L,9/30/2003,2003,9,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,618,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,10.02,meq/L,4/14/2003,2003,4,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.16,None,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-3.68,%,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,640,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,635,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.85,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.47,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,488,mg/L,1/28/2003,2003,1,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,7.97,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,6.338,meq/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,69,ug/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.274,mg/L,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,35.6,%,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of anions,Total,11.14,meq/L,8/4/2003,2003,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,633,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,NA,NA,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,106,mg/L,1/28/2003,2003,1,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,637,uS/cm,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,35.9,%,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,590,uS/cm,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,627,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Bicarbonate,Total,198,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,1260,ug/L,4/16/2003,2003,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.22,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,NA,NA,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.81,None,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,616,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.155,mg/L,1/30/2003,2003,1,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,7.96,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.28,None,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.42,None,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,623,uS/cm,7/15/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.28,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,1.55,ug/L,5/28/2003,2003,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Cations-Anions,Total,-0.295,meq/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,51.1,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.08,None,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Sulfate,Dissolved,206,mg/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Sulfate,Dissolved,177,mg/L,4/14/2003,2003,4,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,Total,8.38,None,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.42,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.41,None,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,640,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.36,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-1.28,%,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,295,mg/L,4/14/2003,2003,4,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.42,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,622,uS/cm,7/15/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.42,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-0.684,meq/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.5,None,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,NA,NA,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,631,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,623,uS/cm,8/13/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,27.3,mg/L,7/8/2003,2003,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Magnesium,Total Recoverable,53.2,mg/L,7/7/2003,2003,7,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
pH,NA,8.09,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,603,mg/L,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.95,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.38,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Conductivity,Total,1120,umho/cm,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,640,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,24.3,mg/L,4/16/2003,2003,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.12,None,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.078,mg/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.35,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.3,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.91,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.46,None,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,2.47,ug/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,0.064,mg/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,651,umho/cm,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,654,ug/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,614,uS/cm,8/13/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1088,uS/cm,5/28/2003,2003,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.06,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,615,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Conductivity,Total,962,umho/cm,7/13/2003,2003,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,617,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.52,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,6.373,meq/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.27,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,10.3,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,617,uS/cm,7/15/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,622,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,13.9,mg/L,4/14/2003,2003,4,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Magnesium,Total Recoverable,46.5,mg/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,628,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,NA,NA,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,157,mg/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,5.56,ug/L,9/1/2003,2003,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.24,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,394,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,618,uS/cm,8/13/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of anions,Total,10.46,meq/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,278,mg/L,7/8/2003,2003,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.35,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,9.39,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.63,None,7/8/2003,2003,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,1.64,None,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.95,None,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,628,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,10.6,mg/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.09,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,46.5,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.98,None,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Bicarbonate,Total,183,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,615,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1020,uS/cm,9/30/2003,2003,9,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,590,uS/cm,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.14,None,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-0.797,meq/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,633,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,64.7,mg/L,8/19/2003,2003,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.52,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,17.5,mg/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,631,uS/cm,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,281,mg/L,8/19/2003,2003,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,633,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.42,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,1.44,ug/L,8/4/2003,2003,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,630,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,635,uS/cm,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.99,None,6/25/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,NA,NA,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.79,None,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,50.4,mg/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,633,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,626,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Carbonate,Total,6,mg/L,9/29/2003,2003,9,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
"Hardness, carbonate",Total,429,mg/L,1/30/2003,2003,1,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Chloride,Dissolved,10.4,mg/L,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.29,None,6/4/2003,2003,6,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,626,uS/cm,7/23/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,590,uS/cm,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.77,None,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Hardness, carbonate",Total,530,mg/L,1/28/2003,2003,1,21NDHDWQ_WQX-380010,Sheyenne River - Warwick
Specific conductance,NA,621,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,618,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.38,None,9/22/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,154,mg/L,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,627,uS/cm,8/26/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,18.7,mg/L,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,0.069,mg/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.96,None,8/18/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,631,uS/cm,7/9/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,600,uS/cm,10/1/2003,2003,10,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,614,uS/cm,9/11/2003,2003,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,0.044,meq/L,4/16/2003,2003,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,636,uS/cm,8/6/2003,2003,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,0.142,mg/L,6/17/2003,2003,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,6.553,meq/L,7/10/2003,2003,7,21NDHDWQ_WQX-382003,Lake Sakakawea
