CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
Specific conductance,NA,1992,uS/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,1.24,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.39,None,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.34,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,409,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,783,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,447,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,72.4,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,14.67,meq/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.94,%,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,543,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,278,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.8,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,785,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.96,None,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,5.11,ug/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2047,uS/cm,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.76,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.39,None,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,NA,NA,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,12.97,meq/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,78.6,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.323,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.15,None,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,309,ug/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,16.8,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.63,None,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.85,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,115,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,779,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.35,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of anions,Total,14.36,meq/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,772,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,0.101,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,12.12,meq/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.83,None,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,773,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,81.2,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.4,None,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.55,meq/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.4,%,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.43,None,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,79.1,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,156,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1053,uS/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.241,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.52,None,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,780,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Conductivity,Total,706,umho/cm,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,50.5,%,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,957,umho/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.34,%,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,177,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,783,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,1.32,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.43,None,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,9.531,meq/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1066,uS/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,245,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,784,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of anions,Total,7.281,meq/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,48.8,%,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.82,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.33,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Bicarbonate,Total,390,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.82,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.72,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,22.77,meq/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,NA,NA,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,39.9,%,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,628,uS/cm,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.81,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,278,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,454,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,213,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,11.06,meq/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.076,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.8,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,832,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.353,meq/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.27,None,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1060,umho/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,523,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,2.08,%,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,75.6,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,772,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Conductivity,Total,1930,umho/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,53.1,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,681,umho/cm,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,145,ug/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1923,uS/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,174,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,13.01,meq/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.44,None,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.79,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,12.2,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.19,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,773,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.35,None,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,100,ug/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1770,uS/cm,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,0.641,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,773,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,772,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Selenium,Total Recoverable,NA,NA,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.79,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.97,None,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,4,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.16,None,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.36,None,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,772,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.66,None,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,50.6,%,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,770,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,NA,NA,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,729,uS/cm,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.1,%,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,10.64,meq/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.35,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,397,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,511,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,559,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,8.27,meq/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.78,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,779,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1771,uS/cm,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.82,None,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,931,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,90.5,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,48.8,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,773,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.34,None,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,551,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.11,None,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,548,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,11.85,meq/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,80,ug/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,57.8,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,774,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,982,uS/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,60.9,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.08,None,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.36,None,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.318,meq/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.58,None,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
